Shot,Threshold,Total_Files,Overall_Accuracy,FSL_Class_0,FSL_Class_1,FSL_Class_2,FSL_Class_3,FSL_Unknown,FSL_Target_Total,Accuracy_Class_0,Accuracy_Class_1,Accuracy_Class_2,Accuracy_Class_3
10,0.4,16061,0.7728036859473258,317,4609,3254,1892,5989,10072,0.7786885245901639,0.8904837852206273,0.7902291614202972,0.8705255140898706
10,0.45,16061,0.7959653819811967,225,3613,2704,1372,8147,7914,0.592896174863388,0.8205741626794258,0.6726265424326366,0.7989337395277989
10,0.5,16061,0.7573002926343316,155,2664,2016,1025,10201,5860,0.4207650273224044,0.6892610313662946,0.507177033492823,0.7052551408987052
10,0.55,16061,0.661415852064006,89,2018,1219,722,12013,4048,0.24316939890710382,0.5337586390217969,0.30697557290355076,0.5293221629855294
10,0.6,16061,0.5507751696656497,27,1372,401,399,13862,2199,0.07377049180327869,0.3646996278575226,0.10098212037270209,0.3031226199543031
10,0.65,16061,0.4672187285972231,0,707,20,128,15206,855,0.0,0.18793195108984584,0.005036514731805591,0.09748667174409749
10,0.7,16061,0.4223896394994085,0,118,0,17,15926,135,0.0,0.031366294524189264,0.0,0.012947448591012947
10,0.75,16061,0.4139841852935683,0,0,0,0,16061,0,0.0,0.0,0.0,0.0
10,0.8,16061,0.4139841852935683,0,0,0,0,16061,0,0.0,0.0,0.0,0.0
10,0.85,16061,0.4139841852935683,0,0,0,0,16061,0,0.0,0.0,0.0,0.0
10,0.9,16061,0.4139841852935683,0,0,0,0,16061,0,0.0,0.0,0.0,0.0
30,0.3,16061,0.6625365792914514,802,5833,4078,3337,2011,14050,0.9699453551912568,0.9760765550239234,0.9206748929740619,0.984006092916984
30,0.35,16061,0.7299047381856671,514,5396,3772,2580,3799,12262,0.9207650273224044,0.9465709728867624,0.8813900780659784,0.9565879664889566
30,0.4,16061,0.7716829587198805,343,4774,3314,1860,5770,10291,0.8278688524590164,0.9013822434875066,0.80181314530345,0.8667174409748667
30,0.45,16061,0.7902994832202229,258,3917,2801,1382,7703,8358,0.6912568306010929,0.8373205741626795,0.6942835557794007,0.7928408225437928
30,0.5,16061,0.7727414233235789,154,2827,2095,1044,9941,6120,0.4207650273224044,0.7307283359914939,0.5275749181566356,0.7182025894897182
30,0.55,16061,0.6557499533030322,48,1844,1328,761,12080,3981,0.13114754098360656,0.4851143009037746,0.3344245781918912,0.5567402894135567
30,0.6,16061,0.5378245439262811,2,1038,531,424,14066,1995,0.00546448087431694,0.27565124933545987,0.13371946612943844,0.3214013709063214
30,0.65,16061,0.44206462860344936,0,288,52,111,15610,451,0.0,0.07655502392344497,0.013094938302694535,0.08453922315308454
30,0.7,16061,0.41423323578855614,0,1,0,3,16057,4,0.0,0.0002658160552897395,0.0,0.002284843869002285
30,0.75,16061,0.4139841852935683,0,0,0,0,16061,0,0.0,0.0,0.0,0.0
30,0.8,16061,0.4139841852935683,0,0,0,0,16061,0,0.0,0.0,0.0,0.0
30,0.85,16061,0.4139841852935683,0,0,0,0,16061,0,0.0,0.0,0.0,0.0
30,0.9,16061,0.4139841852935683,0,0,0,0,16061,0,0.0,0.0,0.0,0.0
