Shot,Threshold,Actual_Class,Pred_Class_0,Pred_Class_1,Pred_Class_2,Pred_Class_3
5,0.35,Class_2,1,0,3211,7
5,0.35,Class_3,1,0,0,1144
5,0.4,Class_0,248,1,0,0
5,0.4,Class_1,2,3270,0,0
5,0.4,Class_2,0,0,2614,0
5,0.4,Class_3,1,0,0,1054
5,0.45,Class_0,193,0,0,0
5,0.45,Class_1,1,2890,0,0
5,0.45,Class_2,0,0,1647,0
5,0.45,Class_3,0,0,0,950
5,0.5,Class_0,152,0,0,0
5,0.5,Class_1,1,2117,0,0
5,0.5,Class_2,0,0,550,0
5,0.5,Class_3,0,0,0,805
5,0.55,Class_0,101,0,0,0
5,0.55,Class_1,0,1229,0,0
5,0.55,Class_2,0,0,19,0
5,0.55,Class_3,0,0,0,638
5,0.6,Class_0,65,0,0,0
5,0.6,Class_1,0,481,0,0
5,0.6,Class_2,0,0,0,0
5,0.6,Class_3,0,0,0,455
5,0.65,Class_0,33,0,0,0
5,0.65,Class_1,0,26,0,0
5,0.65,Class_2,0,0,0,0
5,0.65,Class_3,0,0,0,276
5,0.7,Class_0,7,0,0,0
5,0.7,Class_1,0,0,0,0
5,0.7,Class_2,0,0,0,0
5,0.7,Class_3,0,0,0,127
5,0.75,Class_0,0,0,0,0
5,0.75,Class_1,0,0,0,0
5,0.75,Class_2,0,0,0,0
5,0.75,Class_3,0,0,0,32
5,0.8,Class_0,0,0,0,0
5,0.8,Class_1,0,0,0,0
5,0.8,Class_2,0,0,0,0
5,0.8,Class_3,0,0,0,1
5,0.85,Class_0,0,0,0,0
5,0.85,Class_1,0,0,0,0
5,0.85,Class_2,0,0,0,0
5,0.85,Class_3,0,0,0,0
5,0.9,Class_0,0,0,0,0
5,0.9,Class_1,0,0,0,0
5,0.9,Class_2,0,0,0,0
5,0.9,Class_3,0,0,0,0
