Shot,Threshold,GT_Class,True_Class,Within_Target_Classes,Manually_Marked_As_Others,Total
30,0.4,Class_3,Traffic cone (C4),1138,175,1313
30,0.45,Class_0,Fence (C1),253,113,366
30,0.45,Class_1,Sidewalk (C2),3150,612,3762
30,0.45,Class_2,Parked car (C3),2757,1214,3971
30,0.45,Class_3,Traffic cone (C4),1041,272,1313
30,0.5,Class_0,Fence (C1),154,212,366
30,0.5,Class_1,Sidewalk (C2),2749,1013,3762
30,0.5,Class_2,Parked car (C3),2095,1876,3971
30,0.5,Class_3,Traffic cone (C4),943,370,1313
30,0.55,Class_0,Fence (C1),48,318,366
30,0.55,Class_1,Sidewalk (C2),1825,1937,3762
30,0.55,Class_2,Parked car (C3),1328,2643,3971
30,0.55,Class_3,Traffic cone (C4),731,582,1313
30,0.6,Class_0,Fence (C1),2,364,366
30,0.6,Class_1,Sidewalk (C2),1037,2725,3762
30,0.6,Class_2,Parked car (C3),531,3440,3971
30,0.6,Class_3,Traffic cone (C4),422,891,1313
30,0.65,Class_0,Fence (C1),0,366,366
30,0.65,Class_1,Sidewalk (C2),288,3474,3762
30,0.65,Class_2,Parked car (C3),52,3919,3971
30,0.65,Class_3,Traffic cone (C4),111,1202,1313
30,0.7,Class_0,Fence (C1),0,366,366
30,0.7,Class_1,Sidewalk (C2),1,3761,3762
30,0.7,Class_2,Parked car (C3),0,3971,3971
30,0.7,Class_3,Traffic cone (C4),3,1310,1313
30,0.75,Class_0,Fence (C1),0,366,366
30,0.75,Class_1,Sidewalk (C2),0,3762,3762
30,0.75,Class_2,Parked car (C3),0,3971,3971
30,0.75,Class_3,Traffic cone (C4),0,1313,1313
30,0.8,Class_0,Fence (C1),0,366,366
30,0.8,Class_1,Sidewalk (C2),0,3762,3762
30,0.8,Class_2,Parked car (C3),0,3971,3971
30,0.8,Class_3,Traffic cone (C4),0,1313,1313
30,0.85,Class_0,Fence (C1),0,366,366
30,0.85,Class_1,Sidewalk (C2),0,3762,3762
30,0.85,Class_2,Parked car (C3),0,3971,3971
30,0.85,Class_3,Traffic cone (C4),0,1313,1313
30,0.9,Class_0,Fence (C1),0,366,366
30,0.9,Class_1,Sidewalk (C2),0,3762,3762
30,0.9,Class_2,Parked car (C3),0,3971,3971
30,0.9,Class_3,Traffic cone (C4),0,1313,1313
5,0.3,Class_0,Fence (C1),340,26,366
5,0.3,Class_1,Sidewalk (C2),3665,97,3762
5,0.3,Class_2,Parked car (C3),3598,373,3971
5,0.3,Class_3,Traffic cone (C4),1251,62,1313
5,0.35,Class_0,Fence (C1),300,66,366
5,0.35,Class_1,Sidewalk (C2),3498,264,3762
5,0.35,Class_2,Parked car (C3),3219,752,3971
5,0.35,Class_3,Traffic cone (C4),1145,168,1313
5,0.4,Class_0,Fence (C1),249,117,366
5,0.4,Class_1,Sidewalk (C2),3272,490,3762
5,0.4,Class_2,Parked car (C3),2614,1357,3971
5,0.4,Class_3,Traffic cone (C4),1055,258,1313
5,0.45,Class_0,Fence (C1),193,173,366
