Shot,Threshold,Class,True_Class,Within_Target_Classes,Manually_Marked_As_Others,Total
30,0.45,Class_2,Parked car (C3),2757,44,2801
30,0.45,Class_3,Traffic cone (C4),1041,341,1382
30,0.5,Class_0,Fence (C1),154,0,154
30,0.5,Class_1,Sidewalk (C2),2749,78,2827
30,0.5,Class_2,Parked car (C3),2095,0,2095
30,0.5,Class_3,Traffic cone (C4),943,101,1044
30,0.55,Class_0,Fence (C1),48,0,48
30,0.55,Class_1,Sidewalk (C2),1825,19,1844
30,0.55,Class_2,Parked car (C3),1328,0,1328
30,0.55,Class_3,Traffic cone (C4),731,30,761
30,0.6,Class_0,Fence (C1),2,0,2
30,0.6,Class_1,Sidewalk (C2),1037,1,1038
30,0.6,Class_2,Parked car (C3),531,0,531
30,0.6,Class_3,Traffic cone (C4),422,2,424
30,0.65,Class_0,Fence (C1),0,0,0
30,0.65,Class_1,Sidewalk (C2),288,0,288
30,0.65,Class_2,Parked car (C3),52,0,52
30,0.65,Class_3,Traffic cone (C4),111,0,111
30,0.7,Class_0,Fence (C1),0,0,0
30,0.7,Class_1,Sidewalk (C2),1,0,1
30,0.7,Class_2,Parked car (C3),0,0,0
30,0.7,Class_3,Traffic cone (C4),3,0,3
30,0.75,Class_0,Fence (C1),0,0,0
30,0.75,Class_1,Sidewalk (C2),0,0,0
30,0.75,Class_2,Parked car (C3),0,0,0
30,0.75,Class_3,Traffic cone (C4),0,0,0
30,0.8,Class_0,Fence (C1),0,0,0
30,0.8,Class_1,Sidewalk (C2),0,0,0
30,0.8,Class_2,Parked car (C3),0,0,0
30,0.8,Class_3,Traffic cone (C4),0,0,0
30,0.85,Class_0,Fence (C1),0,0,0
30,0.85,Class_1,Sidewalk (C2),0,0,0
30,0.85,Class_2,Parked car (C3),0,0,0
30,0.85,Class_3,Traffic cone (C4),0,0,0
30,0.9,Class_0,Fence (C1),0,0,0
30,0.9,Class_1,Sidewalk (C2),0,0,0
30,0.9,Class_2,Parked car (C3),0,0,0
30,0.9,Class_3,Traffic cone (C4),0,0,0
5,0.3,Class_0,Fence (C1),334,375,709
5,0.3,Class_1,Sidewalk (C2),3641,1909,5550
5,0.3,Class_2,Parked car (C3),3514,322,3836
5,0.3,Class_3,Traffic cone (C4),1247,1735,2982
5,0.35,Class_0,Fence (C1),297,158,455
5,0.35,Class_1,Sidewalk (C2),3487,1479,4966
5,0.35,Class_2,Parked car (C3),3211,162,3373
5,0.35,Class_3,Traffic cone (C4),1144,1016,2160
5,0.4,Class_0,Fence (C1),248,57,305
5,0.4,Class_1,Sidewalk (C2),3270,946,4216
5,0.4,Class_2,Parked car (C3),2614,45,2659
5,0.4,Class_3,Traffic cone (C4),1054,504,1558
5,0.45,Class_0,Fence (C1),193,15,208
5,0.45,Class_1,Sidewalk (C2),2890,275,3165
5,0.45,Class_2,Parked car (C3),1647,6,1653
5,0.45,Class_3,Traffic cone (C4),950,235,1185
5,0.5,Class_0,Fence (C1),152,4,156
5,0.5,Class_1,Sidewalk (C2),2117,34,2151
5,0.5,Class_2,Parked car (C3),550,0,550
5,0.5,Class_3,Traffic cone (C4),805,96,901
5,0.55,Class_0,Fence (C1),101,1,102
5,0.55,Class_1,Sidewalk (C2),1229,3,1232
5,0.55,Class_2,Parked car (C3),19,0,19
5,0.55,Class_3,Traffic cone (C4),638,22,660
5,0.6,Class_0,Fence (C1),65,0,65
5,0.6,Class_1,Sidewalk (C2),481,0,481
5,0.6,Class_2,Parked car (C3),0,0,0
5,0.6,Class_3,Traffic cone (C4),455,2,457
5,0.65,Class_0,Fence (C1),33,0,33
5,0.65,Class_1,Sidewalk (C2),26,0,26
5,0.65,Class_2,Parked car (C3),0,0,0
5,0.65,Class_3,Traffic cone (C4),276,0,276
5,0.7,Class_0,Fence (C1),7,0,7
5,0.7,Class_1,Sidewalk (C2),0,0,0
5,0.7,Class_2,Parked car (C3),0,0,0
5,0.7,Class_3,Traffic cone (C4),127,0,127
5,0.75,Class_0,Fence (C1),0,0,0
5,0.75,Class_1,Sidewalk (C2),0,0,0
5,0.75,Class_2,Parked car (C3),0,0,0
5,0.75,Class_3,Traffic cone (C4),32,0,32
5,0.8,Class_0,Fence (C1),0,0,0
5,0.8,Class_1,Sidewalk (C2),0,0,0
5,0.8,Class_2,Parked car (C3),0,0,0
5,0.8,Class_3,Traffic cone (C4),1,0,1
5,0.85,Class_0,Fence (C1),0,0,0
5,0.85,Class_1,Sidewalk (C2),0,0,0
5,0.85,Class_2,Parked car (C3),0,0,0
5,0.85,Class_3,Traffic cone (C4),0,0,0
5,0.9,Class_0,Fence (C1),0,0,0
5,0.9,Class_1,Sidewalk (C2),0,0,0
5,0.9,Class_2,Parked car (C3),0,0,0
5,0.9,Class_3,Traffic cone (C4),0,0,0
